titulo,autores,editorial,fecha_publicacion,isbn,numero_paginas,genero,idioma
Chronicle of a Blood Merchant,"Yu Hua, Andrew Jones (Translator)",Anchor,1995-10-30,9781400031856,263,"['China', 'Fiction', 'Historical Fiction', 'Chinese Literature', 'Asia', 'Novels', 'Literature', 'Asian Literature', 'Classics', 'Literary Fiction']",English
Red Seas Under Red Skies,Scott Lynch (Goodreads Author),Del Rey,2007-06-21,B000UDNBS0,578,"['Fantasy', 'Fiction', 'Adventure', 'Epic Fantasy', 'High Fantasy', 'Audiobook', 'Adult', 'Pirates', 'Science Fiction Fantasy', 'Crime']",English
M.Y.T.H. Inc. Link,Robert Lynn Asprin,Ace,1986-01-01,9780441014491,176,"['Fantasy', 'Humor', 'Fiction', 'Science Fiction Fantasy', 'Comedy', 'Science Fiction', 'Magic', 'High Fantasy', 'Adventure', 'Speculative Fiction']",English
Word of Honor,Nelson DeMille (Goodreads Author),Grand Central Publishing,1985-11-01,9780446674829,880,"['Fiction', 'Thriller', 'Mystery', 'Suspense', 'Historical Fiction', 'War', 'Mystery Thriller', 'Military Fiction', 'Historical', 'Audiobook']",English
Caddy Ever After,Hilary McKay,Margaret K. McElderry Books,2006-01-01,9781416909309,224,"['Childrens', 'Fiction', 'Realistic Fiction', 'Middle Grade', 'Young Adult', 'Contemporary', 'Family', 'British Literature', 'Humor', 'Juvenile']",English
The Medium is the Massage: An Inventory of Effects,"Marshall McLuhan, Jerome Agel, Quentin Fiore",Hardwired,2067-10-30,9781888869026,160,"['Nonfiction', 'Philosophy', 'Design', 'Art', 'Sociology', 'Theory', 'Technology', 'Psychology', 'Cultural', 'Politics']",English
Beat to Quarters,C.S. Forester,Back Bay Books,2037-10-30,9780316289320,324,"['Historical Fiction', 'Fiction', 'Adventure', 'Historical', 'Classics', 'War', 'Military Fiction', 'Literature', 'Maritime', 'British Literature']",English
Julia's Story,Ruth Elwin Harris,Candlewick Press,1989-10-29,9780763617066,304,"['Historical Fiction', 'Young Adult', 'Fiction', 'Historical', 'British Literature', '20th Century', 'Young Adult Historical Fiction', 'Romance', 'Childrens', 'World War I']",English
The Thirteen Problems,Agatha Christie,Harper,2032-06-05,9780007120864,315,"['Mystery', 'Fiction', 'Crime', 'Short Stories', 'Classics', 'Detective', 'Mystery Thriller', 'British Literature', 'Murder Mystery', 'Audiobook']",English
Näkimadalad,Herman Sergo,Pegasus,1984-10-30,9789949442652,916,[],Estonian
Devil's Own,Veronica Wolff (Goodreads Author),Berkley,2011-01-25,9780425240182,338,"['Historical Romance', 'Romance', 'Historical', 'Fiction', 'Historical Fiction']",English
Requiem for the Sun,Elizabeth Haydon,Tor Books,2002-10-30,9780812565416,594,"['Fantasy', 'Fiction', 'High Fantasy', 'Epic Fantasy', 'Science Fiction Fantasy', 'Romance', 'Dragons', 'Magic', 'Adventure', 'Science Fiction']",English
The Big Trip Up Yonder,Kurt Vonnegut Jr.,Aegypan,2054-11-06,9781606645000,22,"['Short Stories', 'Science Fiction', 'Fiction', 'Dystopia', 'Audiobook', 'Classics', 'American', 'Humor', 'Fantasy', 'Literature']",English
The Queen of New Beginnings,Erica James (Goodreads Author),Orion Publishing,2010-01-01,9781409101840,374,"['Chick Lit', 'Romance', 'Fiction', 'Contemporary', 'Contemporary Romance', 'Womens Fiction', 'British Literature', 'Unfinished', 'Novels', 'Drama']",English
Redeeming the Lost,Elizabeth Kerner,Tor Fantasy,2004-06-01,9780812568769,400,"['Fantasy', 'Dragons', 'Romance', 'Fiction', 'High Fantasy', 'Epic Fantasy', 'Science Fiction Fantasy', 'Magic', 'Fantasy Romance', 'Adult']",English
